"","x","y","GUID","area_sqkm","county","small_area","ED_Name"
"14988",-6.26320579,53.69551752,"4c07d11e-29d3-851d-e053-ca3ca8c0ca7f",78955.508564353,"Meath","167038031/02","Julianstown"
"14989",-6.37228352,53.70977411,"4c07d11e-29d4-851d-e053-ca3ca8c0ca7f",210750.80738762,"Louth","147043012","St. Mary's (Part Urban)"
"14990",-8.65695884,52.68011968,"4c07d11e-2e8b-851d-e053-ca3ca8c0ca7f",24337.5175967067,"Limerick City and County","127105024","Limerick North Rural"
"14991",-9.09019535,53.273881,"4c07d11e-27bd-851d-e053-ca3ca8c0ca7f",34299.316362083,"Galway City","068003026","Bearna"
"14992",-9.08519046,53.27191272,"4c07d11e-27be-851d-e053-ca3ca8c0ca7f",15264.8184960224,"Galway City","068021010","Taylors Hill"
"14993",-9.09079367,53.27608262,"4c07d11e-27bf-851d-e053-ca3ca8c0ca7f",34230.8689305484,"Galway City","068015003","Rahoon"
"14994",-9.08504928,53.27600028,"4c07d11e-27c0-851d-e053-ca3ca8c0ca7f",52441.7967897356,"Galway City","068015005","Rahoon"
"14995",-8.77313372,52.74722508,"4c07d11e-2ed3-851d-e053-ca3ca8c0ca7f",41914.2153221965,"Clare","037120005","Mountievers"
"14996",-8.60047072,52.65885,"4c07d11e-2ed4-851d-e053-ca3ca8c0ca7f",34295.8349482752,"Limerick City and County","128036004","Singland B"
"14997",-8.59254197,52.65614373,"4c07d11e-2ed5-851d-e053-ca3ca8c0ca7f",24302.6265815198,"Limerick City and County","128036007","Singland B"
"14998",-8.60037577,52.66041355,"4c07d11e-2ed6-851d-e053-ca3ca8c0ca7f",47297.0488802195,"Limerick City and County","128036003","Singland B"
"14999",-8.60134352,52.66223112,"4c07d11e-2ee2-851d-e053-ca3ca8c0ca7f",54739.7910784632,"Limerick City and County","128036001","Singland B"
"15000",-8.59348031,52.66044771,"4c07d11e-2ee3-851d-e053-ca3ca8c0ca7f",54967.6252903342,"Limerick City and County","128036005","Singland B"
